id,name,brand,year,price ,size,abv,type,varietal,country,state,region,appellation,style,taste,body,product_info,image_url
11,"Harvey & Harriet Red Paso Robles, 2018",Harvey & Harriet,2018,$28.97 ,750ml,14.90%,Red Wine,Red Blend,United States,California,Central Coast,Paso Robles,Intense,"Black Fruit, Spice, Cassis",Full-bodied,"Jeb Dunnuck-Paso Robles, CA- ""Tasted out of barrel, the 2018 Harvey and Harriet sports a deep purple color as well as a powerful bouquet of ripe black fruits...Full-bodied, ripe...it has hints of background oak, a rounded, opulent texture, no hard edges, and a great finish."" (Barrel Score 93-95)","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h95/hdd/12674933751838.png"
12,"Invicta By Merus Red Blend Sonoma, 2019",Invicta by Merus,2019,$19.99 ,750ml,14.60%,Red Wine,Red Blend,United States,California,Sonoma County,,Elegant,"Cherry, Cocoa",Full-bodied,"Beverage Dynamics-Alexander Valley, California - ""Rich, elegant and structured, with bold fruit-forward flavors. Blackberry jam and black currant invigorate this blend from a hailed California producer.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h3c/h9e/15843101311006.png"
13,"Leviathan Red Blend California, 2018",Leviathan,2018,$39.99 ,750ml,14.90%,Red Wine,Red Blend,United States,California,,,Fresh,"Black Raspberry, Red Cherry",Full-bodied,"Jeb Dunnuck-Napa, CA- ""Always a great value...Bordeaux blend put together by Andy Erickson. The wine reveals a ruby/purple hue as well as complex notes of red and black fruits, green tobacco, cedary spice, and spring flowers. These all flow to a medium to full-bodied, elegant wine...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h50/h9d/14160555311134.png"
14,"Caiarossa Toscana Pergolaia, 2016",Pergolaia,2016,$32.99 ,750ml,14.00%,Red Wine,Red Blend,Italy,,Tuscany,Toscana,Elegant,"Floral, Spice, Berry",Full-bodied,"Wine Spectator-Toscana, Tuscany, Italy- ""Flavors of black cherry and blackberry stand up to the dense tannins in this fresh, deep and intense red, but this is equally about the vibrant acidity driving the fruit, wild herb nuances and spice-infused aftertaste..."" [WS 2020 TOP 100 #20]","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hde/hc9/14569187704862.png"
15,"J. Navascues La Pinada Bobal, 2017",La Pinada,2017,$14.99 ,750ml,14.50%,Red Wine,Red Blend,Spain,,Valencia,,Elegant,"Blackberry, Cherry",Medium-bodied,"James Suckling-Valencia, Spain - ""A linear and bright Bobal with juicy-fruit, sweet-herb and black-tea aromas and flavors. Medium to full body. Juicy tannins."" Pairs wonderfully with a rice dish, such as paella.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hc5/hc5/12939045142558.png"
16,"Chateau De La Chapelle Blaye Cotes De Bordeaux, 2018",Chateau de la Chapelle,2018,$24.99 ,750ml,14.00%,Red Wine,Bordeaux,France,,Bordeaux,Blaye/Cotes de Bordeaux,Elegant,"Black Currant, Black Cherry",Medium-bodied,"Decanter-Bordeaux, France - Decanter Best in Show Winner - ""This unoaked wine is a saturated deep purple-black in colour, with ... aromas of warm blackcurrant and black cherry fruits and sweet, fresh plums. On the palate, it is ... a torrent of pure fruit, soft tannins and juicy acidity.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hef/hc5/15213372014622.png"
17,"Chateau Lamarque Haut Medoc, 2019",Chateau de Lamarque,2019,$29.99 ,750ml,14.00%,Red Wine,Bordeaux,France,,Bordeaux,Haut-Medoc,,"Berry, Fruity",Full-bodied,"James Suckling-Haut-Medoc, Bordeaux, France- ""Plenty of dark-berry, spice and sandalwood aromas follow through to a full to medium body with integrated, chewy tannins that are long and focused. Pretty finish with plenty of energy and intensity. Perhaps the best Lamarque ever""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hcc/h53/16851583565854.png"
18,"Chateau Lilian Ladouys St. Estephe, 2019",Chateau Lilian Ladouys,2019,$34.99 ,750ml,12.50%,Red Wine,Bordeaux,France,,Bordeaux,Saint-Estephe,Elegant,"Dark Berry, Chocolate, Herb",Full-bodied,"Wine Enthusiast-St, Estephe, Bordeaux, France- ""This full, sumptuous wine brings together ripe tannins and ripe black currant fruits. Its richness, mitigated by the tight acidity and tannins, is full of promise for a long-term future.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h56/hd7/16964031414302.png"
19,"Chateau Lague Fronsac, 2019",Chateau Lague,2019,$16.99 ,750ml,14.00%,Red Wine,Bordeaux,France,,Bordeaux,Fronsac/Canon Fronsac,Intense,"Raspberry, Cherry",Full-bodied,"James Suckling-Fronsac, Bordeaux, France- ""Another excellent Fronsac with currant, blueberry and orange-peel aromas and flavors. Full-bodied, yet tight and focused. Flavorful juicy finish.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h7f/h07/16873124397086.png"
20,"Chateau De Ferrand St-Emilion Grand Cru, 2018",Chateau de Ferrand,2018,$26.99 ,375ml,14.00%,Red Wine,Bordeaux,France,,Bordeaux,Saint-Emilion,Intense,"Blackberry, Chocolate, Violet",Full-bodied,"James Suckling-Grand Cru Classe, St Emilion, Bordeaux, FR- """"Beautiful purity of fruit on the nose with currant, cherry, blackberry and dried lavender. Fullbodied, yet balanced and refined with beautiful, fine tannins and a fresh, vivid finish. I am impressed with the intensity and balance to this...""""","https://www.totalwine.com/dynamic/x490,375ml/media/sys_master/twmmedia/h00/h51/11347568394270.png"
21,"Trivento Golden Reserve Malbec, 2018",Trivento,2018,$19.99 ,750ml,14.50%,Red Wine,Malbec,Argentina,,Mendoza,,Intense,"Plum, Spice",Full-bodied,"Decanter-Mendoza, Argentina- ""Fresh and fragrant nose of lavander, balsamic, plums, thyme, black pepper and sweet black cherries. Nice crunchy graphite texture, with a lovely core of fruit concentration supported by a lively acidity. Smart and delicious.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h7c/h31/9680898228254.png"
22,"Angelica Zapata Malbec, 2017",Angelica Zapata,2017,$49.99 ,750ml,14.00%,Red Wine,Malbec,Argentina,,Mendoza,,Elegant,"Plum, Black Fruit, Clove",Full-bodied,"James Suckling-Mendoza, Argentina - ""This is showing some nice age now with tight, dense fruit and fine, dusty tannins. It offers berry, chocolate and hazelnut flavors. Subtle complexity. Savory finish...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h87/h38/15972229578782.png"
23,"Clos De Los Siete, 2017",Close de los Sieste,2017,$19.99 ,750ml,14.50%,Red Wine,Malbec,Argentina,,Mendoza,,Elegant,"Black Fruit, Spice",Full-bodied,"James Suckling-Mendoza, Argentina - ""A very refined, creamy wine, showing blackberries and blueberries with chocolate and light hazelnut notes. Medium to full body. The fine tannins are polished and creamy and the beautiful, reserved finish goes on for a really long time...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h0e/hc3/10737623891998.png"
24,"Ben Marco Expresivo Mendoza, 2017",Ben Marco,2017,$31.99 ,750ml,14.00%,Red Wine,Malbec,Argentina,,Mendoza,Lujan de Cuyo,Concentrated,"Raspberry, Plum",Full-bodied,"James Suckling-Valle de Uco, Mendoza, Argentina- ""A blend of malbec and cabernet franc, this red shows depth and focus with tightness and beauty. Full-bodied and very tight with some tar and asphalt. Very long and compact.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hdf/h8a/8809261957150.png"
25,"Zuccardi Malbec Concreto, 2019",Zuccardi,2019,$30.99 ,750ml,14.00%,Red Wine,Malbec,Argentina,,,,,,Full-bodied,"James Suckling-Mendoza, Argentina- ""Lots of blackberry and blueberry character with stone and dried mint. It's fermented with skins in concrete and aged there for eight months. This no-wood red is a joy.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h7d/h34/13906523619358.png"
26,Ed Edmundo Chardonnay,Ed Edmundo,,$9.99 ,750ml,13.00%,White Wine,Chardonnay,Argentina,,Mendoza,,Oak,"Butter, Oak, Passionfruit",Medium-bodied,"Mendoza, Argentina - This a lovely medium-bodied Chardonnay. Notes of butter and apple pie on the nose. Round with a good balancing acidity on the palate. Excellent pairing for grilled fish and vegetables.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hb1/h05/11891399262238.png"
27,"Courtney Benham Chardonnay Napa, 2019",Courtney Benham,2019,$19.99 ,750ml,13.40%,White Wine,Chardonnay,United States,California,Napa Valley,Oak Knoll,Elegant,"Citrus, Vanilla, Honeysuckle",Medium-bodied,"James Suckling-Oak Knoll, Napa, CA- ""A fresh, linear chardonnay with sliced ripe apples, honey and some nougat and pralines. Medium to full body, pretty acidity and a fruity finish. Stone and creamy intensity to this. Even some peaches...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h8f/hd6/11785436495902.png"
28,"Gary Farrell Chardonnay Russian River Valley, 2018",Gary Farrell Winery,2018,$27.49 ,750ml,13.30%,White Wine,Chardonnay,United States,California,Sonoma County,Russian River Valley,,,Medium-bodied,"Wine Enthusiast-Russian River Valley, California - ""This wine offers such tremendous value and quality-it should be on everyone's go-to list for Russian River Valley Chardonnay. Lime, fig and grapefruit rind flavors ride along a lifted character of crushed stone texture and bright acidity...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h41/heb/17009005035550.png"
29,"Trefethen Chardonnay, 2018",Trefethen,2018,$31.99 ,750ml,13.50%,White Wine,Chardonnay,United States,California,Napa Valley,Oak Knoll,,,Medium-bodied,"Decanter-Oak Knoll District, Napa Valley, California- ""A delicious, enticing Chardonnay which draws you into the glass with its fresh lemon rind and pith characters, balanced by a touch of perfectly judged oak sweetness. Very textural, showing strident fruit and a juicy finish.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h71/hf2/13046873686046.png"
30,"Ramey Chardonnay Russian River, 2018",Ramey,2018,$42.99 ,750ml,14.50%,White Wine,Chardonnay,United States,California,Sonoma County,Russian River Valley,Elegant,"Green Apple, Pear",Medium-bodied,"Wine Enthusiast-Russian River Valley, Sonoma, California - ""An incredible showcase for the appellation, this combines grapes from the producer's estate Westside Farms with Dutton, Woolsey Road and Rochioli Allen, among others. Together it is broadly floral, earthy and richly integrated...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hdf/hc5/8812513820702.png"
31,Mato Bay Marlborough Sauvignon Blanc,Mato Bay,,$9.99 ,750ml,12.50%,White Wine,Sauvignon Blanc,New Zealand,,Marlborough,,Dry,"Passionfruit, Citrus",Light-bodied,"Marlborough, New Zealand - The ultimate crisp and classic Marlborough Sauvignon Blanc. Refreshing tropical and passionfruit flavors with aromas of zesty grapefruit on the nose. It has a fresh, structured acidity and a clean, lingering finish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hac/h3e/15078179209246.png"
32,"Allan Scott Sauvignon Blanc, 2021",Allan Scott,2021,$18.99 ,750ml,12.50%,White Wine,Sauvignon Blanc,New Zealand,,Marlborough,,Fresh,"Passionfruit, Melon",Medium-bodied,"Wine Spectator-Marlborough, New Zealand - "" Strikes a terrific balance between mouthwatering acidity, fresh herbal notes of lemon verbena and thyme, and core flavors of Key lime, Meyer lemon, pineapple and tangerine. Gains momentum on the finish, where the flavors sing in harmony and complexity.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h6d/ha8/8815720071198.png"
33,"Cloudy Bay Sauvignon Blanc, 2021",Cloudy Bay,2021,$25.99 ,750ml,13.50%,White Wine,Sauvignon Blanc,New Zealand,,Marlborough,,Crisp,"Citrus, Tropical",Medium-bodied,"Wine Spectator-Marlborough, New Zealand- Intense and fresh, with green apple, dried pineapple, candied ginger and lemon curd flavors that show a hint of ripe melon, followed by details of lemon verbena on the finish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hcf/h07/12343344201758.png"
34,Salmon Sancerre Sauvignon Blanc,Domaine Salmon,,$39.99 ,750ml,12.50%,White Wine,Sauvignon Blanc,France,,Loire,Sancerre,Crisp,"Citrus, Mineral",Medium-bodied,"Sancerre, Loire Valley, France- Made from old vines, which intensifies the flavor, this estate-bottled wine is a fine expression of Sauvignon Blanc. Refreshingly zesty with crisp notes of citrus and minerals, dry and complex. Enjoy with soft cheeses like goat cheese.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hfe/haa/16835216998430.png"
35,"Merry Edwards Sauvignon Blanc, 2018",Merry Edwards,2018,$47.99 ,750ml,14.00%,White Wine,Sauvignon Blanc,United States,California,Sonoma County,Russian River Valley,Crisp,"Citrus, Pear",Medium-bodied,"Wine Spectator-Russian River Valley, California - ""A pretty thread of orange water adds an aromatic lift to the core of nectarine, apricot and lemon zest flavors, set on a succulent, fleshy frame. Dried ginger, honeysuckle and melon notes linger on the long, expressive finish.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h0d/hf3/11986430918686.png"
36,Conte Priola Pinot Grigio,Conte Priola,,$8.99 ,750ml,12.00%,White Wine,Pinot Grigio,Italy,,,,Crisp,"Citrus, Apple",Light-bodied,"Italy- Crisp yet delicate, this dry, light-bodied wine has refreshing citrus flavors and represents an excellent value. Have it as an aperitif with light hors d'oeuvres or with a seafood lunch or dinner.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h58/h74/16889970917406.png"
37,"King Estate Pinot Gris Willamette Valley, 2019",King Estate,2019,$15.99 ,750ml,13.40%,White Wine,Pinot Grigio,United States,Oregon,Willamette Valley,,Crisp,"Citrus, Pear",Medium-bodied,"Wine Enthusiast-Willamette Valley, Oregon - ""From a certified biodynamic vineyard, this white offers mouthcoating flavors of apple, peach and grapefruit brightened by sappy acidity. The vivid freshness and exceptional length of this wine make it a good match for poultry, pork, pasta salads and ...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h62/h80/17159084212254.png"
38,Tesoro Della Regina Pinot Grigio,Tesoro della Regina,,$16.49 ,750ml,12.50%,White Wine,Pinot Grigio,Italy,,Valdadige,,Elegant,"Apple, Citrus, Mineral",Medium-bodied,"Italy - A sunny day. An empty glass. How about a new Pinot Grigio? If you are into brilliant, bright flavors of green apple, citrus and minerality, search no more. We think this treasure is a terrific value from Northern Italy that's sure to be your new go-to.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h7d/h9e/15078179373086.png"
39,Conte Fini Pinot Grigio Alto Adige,Conte Fini,,$22.99 ,750ml,12.50%,White Wine,Pinot Grigio,Italy,,Alto-Adige,,Crisp,"Citrus, Mineral",Full-bodied,"Alto Adige, Italy- This beautifully balanced Pinot Grigio from Italy's Alto Adige region in northern Italy offers bright citrus fruit flavors with underlying mineral notes and a lengthy finish. It's a perfect match for lobster and shellfish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/heb/h26/12343340498974.png"
40,"Anne De K Pinot Gris Schlossberg Grand Cru, 2017",Anne de K,2017,$34.99 ,750ml,13.00%,White Wine,Pinot Grigio,France,,Alsace,,Crisp,"Apricot, Peach",Full-bodied,"Wine Enthusiast-Alsace, France - ""Hints of peach and juicy pear are subtle on this wine's shy nose. The fruit breaks through fully on the palate to present a medium-sweet rendition of canned peaches. Lovely freshness underscores the vivid juiciness of this medium-sweet wine.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h1d/ha2/8796438691870.png"
41,"Dr. Loosen ""Dr. L"" Riesling",Dr Loosen,,$8.47 ,750ml,8.50%,White Wine,Riesling,Germany,,Mosel,,Crisp,"Peach, Citrus, Mineral",Light-bodied,"Mosel-Saar-Ruwer, Germany- Sourced exclusively from vineyards with steep slopes and slate soil, this wine embodies the elegant and racy style of classic Mosel Riesling. Displaying snappy peach and juicy citrus fruit highlighted by crisp mineral notes on the complex finish. Great value.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hf0/h44/12343424614430.png"
42,"Dr Heidemanns Riesling QbA, 2020",Dr Heidemanns-Bergweiler,2020,$13.99 ,750ml,10.00%,White Wine,Riesling,Germany,,Mosel,Bernkastel,Off-dry,"Apple, Peach",Medium-bodied,"Bernkastel, Mosel, Germany- Apple and peach flavors infuse this crisp and refreshing Riesling from Dr. Heidemanns, world renowned as one of the finest estates in the Mosel. With flavors that are light and lingering, enjoy as an aperitif paired with spicy shrimp stir-fry.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h7c/h59/13287131185182.png"
43,"Winzer Krems Riesling Kreuzberg Reserve, 2017",Winzer Krems,2017,$27.99 ,750ml,13.50%,White Wine,Riesling,Austria,,Kremstal,,Sweet,"Apple, Peach",Light-bodied,"Wine Enthusiast-Kremstal, Austria - ""The palate is zesty and juicy, with a lovely, tingling and pure freshness that is quite invigorating. That lovely zestiness runs from beginning to end and culminates on a dry, mouthwatering finish.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hc3/heb/9923602612254.png"
44,"Dr Thanisch Badstube Kabinett, 2017",Dr Thanisch,2017,$31.99 ,750ml,8.50%,White Wine,Riesling,Germany,,Mosel,Bernkastel,Off-dry,"Peach, Citrus, Slate",Medium-bodied,"Wine Advocate-Mosel, Germany - ""Lush and salty-piquant on the crystalline palate, this is a mouth-filling and textured Kabinett that probably includes some percentage of botrytis berries, which give it juicy, charming and mouth-filling character. The sweetness is round and fruity rather than sweet.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h41/h03/9084967125022.png"
45,"Dr Heidemanns Bernkastel Badstube Riesling Auslese, 2016",Dr Heidemanns-Bergweiler,2016,$42.99 ,750ml,9.00%,White Wine,Riesling,Germany,,Mosel,Bernkastel,Sweet,"Honey, Apricot",Medium-bodied,"Wine Enthusiast-Germany - ""Bracing whiffs of orange zest and blossom brighten this gorgeously honeyed Riesling. It's light and spry on the palate, yet unctuous and juicy, bursting with sweet white peach and guava flavors. Stark lime acidity and crystalline mineral tones leave the finish fresh..""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h26/h2f/8802760228894.png"
46,Mallee Point Moscato,Mallee Point,,$9.99 ,750ml,7.50%,White Wine,Moscato,Australia,,,,Sweet,"Tropical, Melon",Light-bodied,"Wine Spectator-South Eastern Australia, Australia- ""Light, sweet and frivolous, this crackling wine shows hints of spice and flowers around the ripe pear and lychee flavors. Refreshing."" This wine would be an excellent match with poultry, salads, fruit, and light cheeses.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hda/h5e/8802763440158.png"
47,Bartenura Moscato,Bartenura,,$9.97 ,750ml,5.00%,White Wine,Moscato,Italy,,,,Semi-sweet,"Pear, Melon",Light-bodied,"Italy- Crisp and refreshing. Semi-sweet with lingering pear, tangerine, nectar and melon flavors rounding out the finish. Perfect with dessert or fresh fruit, or for sipping poolside.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/ha5/hdc/14160565370910.png"
48,Castello Poggio Moscato D'Asti,Il Duca,,$12.99 ,750ml,5.00%,White Wine,Moscato,Italy,,,,Sweet,"Apricot, Citrus",Light-bodied,"Aromas of white spring flower and yellow stone fruit waft out of the glass. The easygoing frothy palate doles out apricot, citrus and medicinal herb alongside a soft mousse.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h06/h82/12291745841182.png"
49,Marchese Dell'Elsa Moscato D'Asti,Marchese dell'Elsa,,$14.99 ,750ml,5.50%,White Wine,Moscato,Italy,,Piedmont,Moscato d'Asti,Sweet,"Peach, Citrus",Medium-bodied,"Asti, Piedmont, Italy - A fruit-driven people pleaser. Hints of peach blossoms and fresh citrus make it a natural to pair with a fruit plate. Or sip on the porch after dinner.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h2e/h25/8805961170974.png"
50,Donnafugata Lighea,Donnafugata,,$20.99 ,750ml,12.30%,White Wine,Moscato,Italy,,Sicily,,Dry,Citrus,Medium-bodied,"Lighea  has a bright straw yellow color with greenish reflections. The nose offers a rich and fragrant bouquet where the typical notes of orange blossom merge with hints of citrus (cedar and bergamot) and exotic fruit (lychee). The fruity and floral notes return in the mouth accompanied by a marked freshness, with good persistence and a pleasant mineral finish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/he4/h8a/15455053643806.png"
51,Andre Brut,Andre,,$5.97 ,750ml,10.50%,Champagne & Sparkling Wine,"Sparkling Wine, Brut",United States,California,,,Dry,"Green Apple, Pear",Light-bodied,"CA - This wine is crisp, simple & slightly sweet. This sparkling wine is made from a blend of white grapes from California. Its refreshing & versatile with fruity notes of green apple, pear and sweet lemon. Andre California champagne is a classic choice for toasting & celebrating.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h3d/h02/12343425892382.png"
52,Borrasca Prosecco DOCG,Borrasca,,$15.99 ,750ml,11.00%,Champagne & Sparkling Wine,"Prosecco, Brut",Italy,,Veneto,Prosecco,Crisp,"Pear, Floral, Green Apple",Light-bodied,"Beverage Dynamics-Veneto, Italy - ""White flowers, Bartlett pears, and almonds layer and show the elevated quality of this Prosecco. The wine is rich while keeping a fruit forward soft side present giving a nice texture on the mid-pallet and finish.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hbc/hb4/13287128301598.png"
53,Tesoro Della Regina Prosecco Rose,Tesoro della Regina,,$20.99 ,750ml,11.00%,Champagne & Sparkling Wine,"Prosecco, Rose",Italy,,,,Elegant,"Apple, Floral, Berry",Full-bodied,"Veneto, Italy- The Tesoro della Regina brand is so excited to introduce Prosecco Rose, light in color and elegant and intense on the nose. You will find a dry, soft and well balanced palate round and full bodied structure. Perfect as an aperitif or paired with fish!","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hbc/hbb/13639900168222.png"
54,Vigneti Cenci Franciacorta La Capinera Cuvee Rose Brut,Vigneti Cenci,,$37.99 ,750ml,12.50%,Champagne & Sparkling Wine,"Sparkling Wine, Rose",Italy,,Lombardy,Franciacorta,Dry,"Strawberry, Red Fruit, Raspberry",Full-bodied,"Decanter-Lombardy, Franciacorta, Italy - ""Floral, red berry and spicy nose. The palate is rich and expressive with intense notes of brioche, red currants, rose petals and strawberries. A very rich style with a long finish. Ideal for shellfish and paella."" [2018 Decanter World Wine Awards: GOLD]","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h80/h3a/15909949341726.png"
